id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
960292254370552815,Coogee Treetops,7409213,L'Abode Accommodation Specialist,,Randwick,-33.92232010842661,151.2506508469096,Entire home/apt,353,1,1,2024-01-09,0.19,144,311,1,PID-STRA-55262
960317087653417495,Cozy Room with Private Bathroom,532291697,Weijie,,Rockdale,-33.9331268,151.1463045,Private room,99,1,39,2024-06-06,3.98,1,19,39,PID-STRA-55284
960347023588822537,La Palma,3046924,Contemporary Hotels,,Pittwater,-33.59316,151.31955,Entire home/apt,3128,1,1,2024-02-17,0.26,57,346,1,PID-STRA-23078
960374168369856376,Heart of City- Superb Apt with an Harbour Views!,5215877,Milan,,Sydney,-33.869740104431,151.2031914549198,Entire home/apt,357,2,30,2024-06-05,3.63,51,152,30,PID-STRA-55440
960377874528346244,Beachside flat in great location,135785879,Lauren,,Manly,-33.80201,151.28765,Entire home/apt,190,6,2,2023-12-30,0.24,1,30,2,PID-STRA-55330
960399516174394004,Private Bronte Beach House with Ocean Views,16026854,Tracey McArdle Exclusive Properties,,Waverley,-33.90781,151.26951,Entire home/apt,,10,1,2023-10-27,0.13,49,0,1,PID-STRA-55275
960410340414222811,Spacious 3 Bedroom Haven in Ashfield Ideal Getaway,137278159,Likehome,,Ashfield,-33.89183519900639,151.1303981913165,Entire home/apt,180,2,14,2024-05-07,1.53,42,58,14,PID-STRA-54989
960428716112800790,Oversized Unit - Prime Location,249806122,Stas,,Ryde,-33.81641,151.10263,Entire home/apt,151,2,39,2024-06-09,4.03,1,178,39,PID-STRA-55329
960482253223436102,Get Ritzy in Randwick,117212246,Amanda & Liz,,Randwick,-33.92563,151.24137,Entire home/apt,350,7,1,2024-01-01,0.18,1,358,1,PID-STRA-55327
960521237270104654,Darlington  Mid-Century Charm,11407589,Antonio,,Sydney,-33.88955,151.1951,Entire home/apt,574,3,20,2024-05-28,2.23,2,106,20,PID-STRA-55195
960552617821970366,Charming Bayside Home,132755530,John,,Sutherland Shire,-34.05439,151.13667,Entire home/apt,585,2,3,2024-04-01,0.31,2,309,3,PID-STRA-55342
960555402852631973,Unique Lagoon Oasis at Beach,95214788,Cushie - Concierge Services,,Warringah,-33.707792853738155,151.29923758890143,Entire home/apt,1200,1,0,,,28,16,0,PID-STRA-54906
961002569061545668,Luxury in Lilyfield-New 4 bdr home - 4km to City,526622203,Ian,,Leichhardt,-33.8716484,151.1683928,Entire home/apt,532,2,29,2024-06-10,3.22,1,141,29,PID-STRA-54913
961059701651587067,Boba Fett's Balcony Room,121169127,Chris,,Sydney,-33.8896897,151.2029362,Private room,,1,3,2024-02-29,0.56,1,0,3,PID-STRA-39557
961068230953115847,"LUXE Waterloo 1 bed with parking, gym & pool",17714205,Holiday Rentals Australia,,Sydney,-33.90138,151.2106526,Entire home/apt,179,2,18,2024-05-24,2.19,10,88,18,PID-STRA-55343
961125566428447443,Superb Apt in Heart of Sydney CBD- Darling Harbour,454658763,Sarah,,Sydney,-33.87257130019274,151.20466849885315,Entire home/apt,341,2,15,2024-06-06,2.27,1,210,15,PID-STRA-34974
961180515353193402,Homely city view room,65509710,Umair,,Auburn,-33.85246541656961,151.07118433788995,Private room,127,1,102,2024-06-08,10.48,1,38,102,Exempt
961224653959800234,Triple Room Shared Bathroom,1493019,Adrian,,Sydney,-33.87302897362005,151.22256111957395,Private room,165,1,6,2024-05-26,0.90,4,90,6,PID-STRA-55819
961243414826415836,The Kokopelli - Sydney CBD,119346345,Belinda,,Sydney,-33.87438515366372,151.20418891310692,Entire home/apt,278,2,3,2024-06-01,0.83,1,85,3,PID-STRA-61974
961394421366886122,Bright Studio Great Location,532698982,Libbie,,Sydney,-33.8756019,151.2257919,Entire home/apt,140,1,42,2024-06-08,4.57,1,196,42,PID-STRA-55432
961715720298997350,"Quiet, Leafy Sydney Getaway",78007933,Charlotte,,Lane Cove,-33.81846182458369,151.15330352204109,Entire home/apt,,2,7,2024-02-20,0.76,1,0,7,PID-STRA-55360
961797415826104702,Top Spot 3Br Great Value,285488167,Rick,,Waverley,-33.8881123,151.2757809,Entire home/apt,364,3,18,2024-03-03,2.08,22,53,18,PID-STRA-42705
962036619480039240,Elegant House in Bellevue Hill,472051416,Guilherme,,Woollahra,-33.8854925,151.2566146,Private room,105,3,2,2024-01-03,0.25,1,89,2,PID-STRA-55444
962076692611788045,Water front - KING Bed 3 Room Rooftop Terrace #E2,3882146,Suzanna,,Sydney,-33.86042,151.20231,Entire home/apt,301,1,44,2024-06-02,4.66,25,50,44,PID-STRA-55337
962165091832386803,"COME to VIVID, Feel Part of the Action Quiet Home",296623833,Graeme,,Sydney,-33.8577223,151.2049839,Entire home/apt,256,2,29,2024-06-10,3.16,7,146,29,Exempt
962314806181026803,The Pond sweet 4 br home by Coles with garage&WiFi,498208051,Su,,Blacktown,-33.70351673370207,150.89461678344648,Entire home/apt,188,2,31,2024-06-02,3.31,3,133,31,PID-STRA-54865
962490438567833829,Escape to Tranquil Luxury at 11 Katanda Close,6782236,Peter,,Pittwater,-33.63131923836266,151.31936773845266,Entire home/apt,65,5,1,2024-01-26,0.22,1,34,1,PID-STRA-55399
962513566211587369,CBD Haven-Darling Harbour Stroll,304439411,Annie And Lucas,,Sydney,-33.87185,151.1937,Entire home/apt,309,2,45,2024-05-27,4.66,5,19,45,PID-STRA-55370
962555063790697770,Between the Pines by TCC,100552972,The Curated Collection,,Pittwater,-33.6573226,151.3230122,Entire home/apt,2994,1,0,,,39,91,0,PID-STRA-55290
962570060504741907,La Palma - Your own mini resort,291200967,Danika,,Pittwater,-33.62211,151.33706,Entire home/apt,,3,0,,,1,259,0,PID-STRA-55419
962592369615665369,Charming Tropical Bondi Retreat,2450066,Hotelesque,,Waverley,-33.8902959235629,151.27255063136525,Entire home/apt,266,5,2,2023-09-22,0.22,100,124,2,PID-STRA-55272
962604786645944665,Comfy Queen Bed | Private Bath,372015817,Gagan,,Blacktown,-33.71356,150.87584,Private room,80,1,30,2024-05-21,3.26,2,259,30,PID-STRA-55416
962680024404408773,"2 bedroom house opposite Carriageworks, Newtown.",123387852,Michael,,Sydney,-33.89395,151.18913,Entire home/apt,290,3,24,2024-05-26,2.70,1,185,24,PID-STRA-55525
962717151236261702,BONDI Park House - Bedroom 3,20195720,Angeline And Richard,,Waverley,-33.89697102867219,151.26054655700057,Private room,99,4,7,2024-03-19,0.85,4,258,7,PID-STRA-44555
962734628586369806,Private Room and Bathroom in a City Oasis & A Cat,533020284,Kristopher,,Sydney,-33.88472,151.18052,Private room,134,1,13,2024-05-20,1.53,1,205,13,PID-STRA-55611
962763991165341971,Room 8 ~An Ensuite Room Nearby Airport,489066708,Liu,,Marrickville,-33.9166726,151.1723759,Private room,108,1,14,2024-03-19,1.88,8,90,14,PID-STRA-25543
962801651199411287,Heart of City with Pool & Gym,97424788,Michael,,Sydney,-33.8644446,151.2076491,Entire home/apt,326,3,32,2024-06-08,3.45,11,278,32,PID-STRA-55451
962808144390027193,Burwood Studio,376533498,Steven,,Burwood,-33.87574775696947,151.10459906526523,Entire home/apt,156,1,40,2024-05-24,6.78,21,51,40,PID-STRA-58457
962811426282488736,Room 6 ~ A Private Room Nearby Airport,489066708,Liu,,Marrickville,-33.91559300213035,151.17209190251938,Private room,85,1,39,2024-05-23,3.99,8,271,39,PID-STRA-25543
962888772067236910,Adorable 2B Apt near Macquarie Uni,475265964,Kun,,Ryde,-33.7782826,151.1099877,Entire home/apt,281,2,20,2024-05-24,2.13,14,70,20,Exempt
963147978932155037,A cosy & luxury place to stay,47234497,Uyen,,Holroyd,-33.8186933,150.9283024,Private room,69,3,1,2023-10-03,0.12,1,84,1,PID-STRA-55465
963200809395842449,Utopia 4B House in Baulkham Hills,132288219,Gao,,The Hills Shire,-33.7663233,151.0017239,Entire home/apt,200,4,20,2024-05-17,2.19,56,75,20,PID-STRA-55090
963280502585130436,Cozy 5 Bedroom Family Haven in Balmain/4KM CBD,137278159,Likehome,,Leichhardt,-33.86087,151.1783,Entire home/apt,360,2,17,2024-05-27,1.92,42,53,17,PID-STRA-55435
